Revisão de Imagens (Gabarito),,
,,
Imagem,,"Possui acessibilidade?(Acessível, Parcialmente acessível, Não acessível)"
,,
escola_1,,Parcialmente acessível
escola_2,,Não acessível
escola_3,,Acessível
escola_4,,Não acessível
escola_5,,Não acessível
escola_6,,Parcialmente acessível
escola_7,,Acessível
escola_8,,Parcialmente acessível
escola_9,,Acessível
escola_10,,Parcialmente acessível
hospital_1,,Não acessível
hospital_2,,Não acessível
hospital_3,,Acessível
hospital_4,,Acessível
hospital_5,,Parcialmente acessível
hospital_6,,Acessível
hospital_7,,Parcialmente acessível
hospital_8,,Acessível
hospital_9,,Acessível
hospital_10,,Acessível
mercado_1,,Não acessível
mercado_2,,Não acessível
mercado_3,,Parcialmente acessível
mercado_4,,Parcialmente acessível
mercado_5,,Não acessível
mercado_6,,Acessível
mercado_7,,Parcialmente acessível
mercado_8,,Não acessível
mercado_9,,Não acessível
mercado_10,,Parcialmente acessível
comercio_1,,Parcialmente acessível
comercio_2,,Não acessível
comercio_3,,Não acessível
comercio_4,,Não acessível
comercio_5,,Não acessível
comercio_6,,Acessível
comercio_7,,Acessível
comerrcio_8,,Parcialmente acessível
comercio_9,,Acessível
comercio_10,,Acessível
farmacia_1,,Parcialmente acessível
farmacia_2,,Parcialmente acessível
farmacia_3,,Parcialmente acessível
farmacia_4,,Acessível
farmacia_5,,Acessível
farmacia_6,,Parcialmente acessível
farmacia_7,,Não acessível
farmacia_8,,Não acessível
farmacia_9,,Parcialmente acessível
farmacia_10,,Acessível
restaurante_1,,Parcialmente acessível
restaurante_2,,Acessível
restaurante_3,,Parcialmente acessível
restaurante_4,,Não acessível
restaurante_5,,Não acessível
restaurante_6,,Parcialmente acessível
restaurante_7,,Acessível
restaurante_8,,Parcialmente acessível
restaurante_9,,Parcialmente acessível
restaurante_10,,Acessível
shopping_1,,Parcialmente acessível
shopping_2,,Acessível
shopping_3,,Acessível
shopping_4,,Parcialmente acessível
shopping_5,,Parcialmente acessível
shopping_6,,Parcialmente acessível
shopping_7,,Parcialmente acessível
shopping_8,,Não acessível
shopping_9,,Acessível
shopping_10,,Acessível
prefeitura_1,,Não acessível
prefeitura_2,,Não acessível
prefeitura_3,,Acessível
prefeitura_4,,Parcialmente acessível
prefeitura_5,,Acessível
prefeitura_6,,Acessível
prefeitura_7,,Parcialmente acessível
prefeitura_8,,Acessível
prefeitura_9,,Parcialmente acessível
prefeitura_10,,Parcialmente acessível
aeroporto_1,,Acessível
aeroporto_2,,Acessível
aeroporto_3,,Acessível
aeroporto_4,,Acessível
aeroporto_5,,Acessível
aeroporto_6,,Não acessível
universidade_1,,Acessível
universidade_2,,Parcialmente acessível
universidade_3,,Parcialmente acessível
universidade_4,,Parcialmente acessível
universidade_5,,Não acessível
universidade_6,,Acessível
universidade_7,,Acessível
universidade_8,,Não acessível
universidade_9,,Acessível
universidade_10,,Acessível
