Revisão de Imagens (Gemini),,,,,,,,,,
,,,,,,,,,,
Imagem,,"Possui acessibilidade?(Acessível, Parcialmente acessível, Não acessível)","Elementos que pontuam acessibilidade (rampa, corrimão, sinalização)",,,,,,,
,,,,,,,,,,
escola_1,,Não acessível,Nenhum,,,,,,,
escola_2,,Parcialmente acessível,Rampa de acesso que vence o desnível entre a calçada pública e a entrada da escola.,,,,,,,
escola_3,,Não acessível,Nenhum,,,,,,,
escola_4,,Parcialmente acessível,"A entrada principal, através do portão gradeado, aparenta estar em nível com a área de aproximação e parece ter largura suficiente para um cadeirante.",,,,,,,
escola_5,,Não acessível,Nenhum,,,,,,,
escola_6,,Parcialmente acessível,"O acesso principal ao campus parece ser feito por uma longa rampa que se inicia após o portão gradeado, o que indica uma tentativa de prover acessibilidade ao desnível do terreno. A largura da rampa parece adequada.",,,,,,,
escola_7,,Não acessível,Nenhum,,,,,,,
escola_8,,Parcialmente acessível,"Rampa de acesso, ausência de corrimãos, piso da rampa e calçada, piso tátil e entrada",,,,,,,
escola_9,,Não acessível,Nenhum,,,,,,,
escola_10,,Não acessível,Nenhum,,,,,,,10
hospital_1,,Não acessível,Nenhum,,,,,,,
hospital_2,,Parcialmente acessível,Rampa de acesso,,,,,,,
hospital_3,,Parcialmente acessível,Rampa na entrada principal,,,,,,,
hospital_4,,Acessível,Entrada ampla e nivelada com a área de desembarque,,,,,,,
hospital_5,,Parcialmente acessível,Rampa,,,,,,,
hospital_6,,Acessível,Rampa com corrimão e inclinação aparente adequada,,,,,,,
hospital_7,,Parcialmente acessível,Entrada com rampa,,,,,,,
hospital_8,,Acessível,Entrada ampla e nivelada na área de emergência,,,,,,,
hospital_9,,Acessível,Entrada ampla e nivelada,,,,,,,
hospital_10,,Não acessível,Nenhum,,,,,,,20
mercado_1,,Não acessível,Nenhum,,,,,,,
mercado_2,,Parcialmente acessível,Entrada do Estabelecimento:,,,,,,,
mercado_3,,Não acessível,Nenhum,,,,,,,
mercado_4,,Parcialmente acessível,Entrada do Estabelecimento:,,,,,,,
mercado_5,,Não acessível,Nenhum,,,,,,,
mercado_6,,Acessível,"Entrada do Estabelecimento, piso Tátil, área de Acesso Imediata e transição da Área de Estacionamento/Via",,,,,,,
mercado_7,,Parcialmente acessível,Rampa de Acesso,,,,,,,
mercado_8,,Parcialmente acessível,Rampa de Acesso e portão de Entrada,,,,,,,
mercado_9,,Não acessível,Nenhum,,,,,,,
mercado_10,,Não acessível,Nenhum,,,,,,,30
comercio_1,,Não acessível,Nenhum,,,,,,,
comercio_2,,Não acessível,Nenhum,,,,,,,
comercio_3,,Não acessível,Nenhum,,,,,,,
comercio_4,,Parcialmente acessível,Inclinação suave diretamente da calçada,,,,,,,
comercio_5,,Parcialmente acessível, Porta nivelada com a calçada,,,,,,,
comercio_6,,Acessível,Nivelada com a calçada e livre de grandes obstáculos,,,,,,,
comercio_7,,Acessível,Nivelada com a calçada e faixa de piso tátil direcional ,,,,,,,
comerrcio_8,,Parcialmente acessível,Sinalização de piso tátil direcional e rampa com inclinação suave,,,,,,,
comercio_9,,Acessível, Piso tátil direcional e  nivelada com a calçada,,,,,,,
comercio_10,,Parcialmente acessível,Rampa aparente,,,,,,,40
farmacia_1,,Parcialmente acessível,Presença de Rampa,,,,,,,
farmacia_2,,Parcialmente acessível,Presença de Rampa,,,,,,,
farmacia_3,,Acessível,"Acesso em Nível, calçada Ampla e em Bom Estado, presença de Piso Tátil e rota Desobstruída",,,,,,,
farmacia_4,,Parcialmente acessível,Acesso em Nível,,,,,,,
farmacia_5,,Acessível,"Vaga de Estacionamento Acessível, acesso em Nível e Rota Acessível, entrada Adequada e ausência de Barreiras",,,,,,,
farmacia_6,,Parcialmente acessível,Acesso em Nível:,,,,,,,
farmacia_7,,Não acessível,Nenhum,,,,,,,
farmacia_8,,Não acessível,Nenhum,,,,,,,48
farmacia_9,,Parcialmente acessível,Acesso em Nível na Loja,,,,,,,
farmacia_10,,Acessível,"A entrada da farmácia é em nível com a calçada e a área do estacionamento, o que representa a condição ideal de acesso, sem a necessidade de rampas.
 A porta de entrada aparenta ser larga o suficiente para a passagem de uma cadeira de rodas. O percurso entre a rua e a entrada do estabelecimento é amplo e livre",,,,,,,
restaurante_1,,Não acessível,Nenhum,,,,,,,
restaurante_2,,Parcialmente acessível,"O estabelecimento possui uma rampa de acesso da calçada até a entrada, o que é um ponto positivo. Contudo, a rampa apresenta aparentes não conformidades críticas com a NBR 9050.",,,,,,,
restaurante_3,,Não acessível,Nenhum,,,,,,,
restaurante_4,,Acessível,Entrada em nível e piso de pedras portuguesas,,,,,,,
restaurante_5,,Não acessível,,,,,,,,
restaurante_6,,Não acessível,,,,,,,,
restaurante_7,,Acessível,Nível com a calçada,,,,,,,
restaurante_8,,Acessível,Estrada em nível,,,,,,,
restaurante_9,,Parcialmente acessível,"Embora exista uma pequena rampa de concreto construída para vencer essa barreira, ela é visivelmente inadequada",,,,,,,
restaurante_10,,Não acessível,Nenhum,,,,,,,58
shopping_1,,Parcialmente acessível,"A entrada principal do shopping é em nível com a área de desembarque, sem a presença de degraus ou desníveis abruptos",,,,,,,
shopping_2,,Parcialmente acessível,"A rota acessível é segregada, mais longa e exige um percurso maior do que o acesso principal",,,,,,,
shopping_3,,Não acessível,,,,,,,,
shopping_4,,Parcialmente acessível,"O acesso principal ao edifício é em nível com a calçada, o que representa a melhor solução de acessibilidade, eliminando a necessidade de rampas ou degraus.
A entrada é ampla e as portas parecem ter largura suficiente para a passagem de cadeiras de rodas.",,,,,,,
shopping_5,,Parcialmente acessível,"nível com o calçadão, com portas largas e automáticas.",,,,,,,
shopping_6,,Parcialmente acessível,Barreira Principal e Rota Alternativa,,,,,,,64
shopping_7,,Parcialmente acessível,"O local possui uma rampa de acesso na lateral esquerda da entrada principal, o que possibilita a entrada de um cadeirante no estabelecimento",,,,,,,
shopping_8,,Parcialmente acessível,Acesso secundário em nível com a calçada,,,,,,,
shopping_9,,Parcialmente acessível,Rampa de acesso,,,,,,,
shopping_10,,Acessível,"O local oferece uma rampa com inclinação aparentemente suave e corrimãos, localizada ao lado da escada. As portas de entrada são amplas e automáticas.",,,,,,,
prefeitura_1,,Não acessível,Nenhum,,,,,,,
prefeitura_2,,Parcialmente acessível,Rampa lateral,,,,,,,
prefeitura_3,,Acessível,Ausência de obstáculos visíveis ,,,,,,,
prefeitura_4,,Não acessível,Nenhum,,,,,,,75
prefeitura_5,,Parcialmente acessível,Entrada principal com um portão que parece dar acesso a um estacionamento.,,,,,,,
prefeitura_6,,Acessível,Rampa com corrimão,,,,,,,
prefeitura_7,,Não acessível,Nenhum,,,,,,,
prefeitura_8,,Parcialmente acessível,Entrada que parece ser nivelada com a calçada,,,,,,,
prefeitura_9,,Parcialmente acessível, Rampas de acesso,,,,,,,
prefeitura_10,,Não acessível,Nenhum,,,,,,,
aeroporto_1,,Acessível,Rampa azul e área de desembarque é ampla,,,,,,,
aeroporto_2,,Acessível,Entrada ampla e nivelada com a calçada,,,,,,,
aeroporto_3,,Acessível,Ampla e nivelada com a área de desembarque,,,,,,,
aeroporto_4,,Acessível,Piso tátil de alerta e um piso com sinalização de acessibilidade ,,,,,,,
aeroporto_5,,Acessível," Área demarcada em azul com o símbolo internacional de acessibilidade, entrada do terminal é ampla e parece ser nivelada ",,,,,,,
aeroporto_6,,Acessível,Entrada do aeroporto é ampla e nivelada com a área de desembarque,,,,,,,
universidade_1,,Acessível,"Nivelada com a calçada, possui uma faixa de pedestres bem sinalizada e entrada é ampla",,,,,,,
universidade_2,,Não acessível,Nenhum,,,,,,,
universidade_3,,Parcialmente acessível,Rampa de acesso para veículos e pedestre,,,,,,,
universidade_4,,Parcialmente acessível, Entrada que parece ser nivelada com a calçada em parte,,,,,,,
universidade_5,,Não acessível,Nenhum,,,,,,,71
universidade_6,,Parcialmente acessível, Rampa com corrimão,,,,,,,
universidade_7,,Não acessível,Nenhum,,,,,,,
universidade_8,,Acessível,Ampla e parece ser nivelada com a calçada,,,,,,,
universidade_9,,Não acessível,Nenhum,,,,,,,
universidade_10,,Não acessível,Nenhum,,,,,,,
